code,name,2010-07,2015-07,2020-07,2025-07,2030-07,2035-07,2040-07,2045-07,2050-07,2055-07,2060-07,2065-07,2070-07,2075-07,2080-07,2085-07,2090-07,2095-07,2100-07
ABW,Aruba (Neth.),60462,56237,50231,43483,37024,32157,26711,22382,18679,15495,12723,10520,8481,6812,5455,4308,3466,2723,2140
AFG,Afghanistan,9526051,8706653,8502003,7893313,7187825,6286645,5140363,4002215,3005514,2172848,1518454,1025427,672456,432827,276421,172796,98577,54628,29132
AGO,Angola,2896056,2746087,2508565,2913690,3654955,4841571,6331228,7804515,8901375,9446555,9434207,8947630,8293929,7526246,6742007,6000054,5293659,4653278,4059162
ALB,Albania,43,25,14,9,6,5,4,3,3,3,3,2,2,2,2,2,2,2,2
ARE,United Arab Emirates,27,26,22,17,13,10,9,9,10,13,16,19,21,24,26,29,30,30,29
ARG,Argentina,80127,41023,24403,17675,14627,13112,12082,11762,11612,11506,11329,10777,9745,8766,7916,7307,7124,6977,6834
ARM,Armenia,5986,2002,795,368,199,127,90,68,58,52,47,40,34,31,28,26,25,25,24
AUS,Australia,3,2,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5
AUT,Austria,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,,,,,,,,,1,1,1,1,1,1,1,1,1,,
BDI,Burundi,7325353,8005612,8178915,8056980,7628627,7096206,6411738,5675136,4920799,4137397,3353470,2626448,2004515,1512847,1131284,829436,577393,391233,258774
BEL,Belgium,,,,,,,,,,,,,,,,,,,
BEN,Benin,4188766,4634379,4816276,4862249,4880173,4875472,4750638,4526810,4231741,3889197,3509732,3115245,2751173,2412682,2104715,1819941,1569071,1346153,1151838
BFA,Burkina Faso,10088795,10338174,10218266,10192159,10366667,10597561,10625714,10425051,10020955,9423866,8645443,7714933,6844939,6015061,5265197,4607655,4051145,3571651,3148581
BGD,Bangladesh,45411616,31346684,18693436,11488584,7832447,5868938,4397406,3352614,2591559,1997050,1514795,1138788,848428,624803,462756,338676,230509,154417,101289
BGR,Bulgaria,1914,1311,1017,1098,1236,1416,1748,2322,3168,4268,5541,7038,9020,11763,15479,20415,26708,34613,44442
BHR,Bahrain,1553,1989,1668,1286,1106,1035,1018,1074,1148,1136,1039,922,822,756,714,677,627,575,525
BHS,The Bahamas,19,16,13,12,13,14,14,15,15,16,18,18,17,16,15,15,14,14,13
BIH,Bosnia and Herzegovina,447,232,71,23,10,5,3,2,2,1,1,1,1,1,1,1,1,2,2
BLR,Belarus,6721,3432,2468,2440,2715,3040,3644,4763,6568,8957,11638,14680,18609,24102,31706,41719,54354,70007,89554
BLZ,Belize,23980,25848,26677,25958,25045,24147,23100,22175,21209,20190,19174,18242,17132,16019,15017,14125,13243,12401,11630
